Question,Answer,Functions,qclean
When will I receive my medical card?,Around 3-4 weeks after completion of myHR onboarding,Benefits,receive medical card
When should I expect to receive medicial card?,Around 3-4 weeks after completion of myHR onboarding,Benefits,expect receive medicial card
How long does it take to have my medicial card?,Around 3-4 weeks after completion of myHR onboarding,Benefits,long take medicial card
How long to get medicial card?,Around 3-4 weeks after completion of myHR onboarding,Benefits,long get medicial card
When I can see doctor without paying doctor consultation fee myself in advance?,Around 3-4 weeks after completion of myHR onboarding,Benefits,see doctor without paying doctor consultation fee advance
When can doctor consultation fee being exempted? ,Around 3-4 weeks after completion of myHR onboarding,Benefits,doctor consultation fee exempted
When I can see doctor without paying doctor consultation fee myself upfront?,Around 3-4 weeks after completion of myHR onboarding,Benefits,see doctor without paying doctor consultation fee upfront
When will I expect to receive the flexiben login?,Around 3-4 weeks after completion of myHR onboarding,Benefits,expect receive flexiben login
When can I log in to flexiben account?,Around 3-4 weeks after completion of myHR onboarding,Benefits,log flexiben account
How long should I expect to receive the flexiben login?,Around 3-4 weeks after completion of myHR onboarding,Benefits,long expect receive flexiben login
When I can have flexiben account?,Around 3-4 weeks after completion of myHR onboarding,Benefits,flexiben account
How long does it take to have my flexiben account?,Around 3-4 weeks after completion of myHR onboarding,Benefits,long take flexiben account
Any expiry date of my available flexidollars?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,expiry date available flexi dollars
Does my flexi dollars expire?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,flexi dollars expire
Is there an expiry date for my flexiben dollar?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,expiry date flexiben dollar
When will my flexidollar expire?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,flexidollar expire
What is the policy year of flexiben?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,policy year flexiben
What is the period of flexiben year?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,period flexiben year
When is the cut off of flexiben year?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,cut flexiben year
When I need to use up my flexidollars for the current year?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,need use flexi dollars current year
Will my flexidollars expire?,Flex Plan Year runs from 1st April of a calendar year to 31st March of the immediate following calendar year.,Benefits,flexi dollars expire
Can I buy more annual leave via Flexiben?,Maximum 5 day annual leave can be bought.,Benefits,buy annual leave via flexiben
Can I buy annual leave?,Maximum 5 day annual leave can be bought.,Benefits,buy annual leave
"I run out of my annual leave, how can I have more?",Maximum 5 day annual leave can be bought.,Benefits,run annual leave
How many day of annual leave I can buy via Flexiben?,Maximum 5 day annual leave can be bought.,Benefits,many day annual leave buy via flexiben
What's the maximum number of annual leave I can buy?,Maximum 5 day annual leave can be bought.,Benefits,maximum number annual leave buy
How many days of holiday I can buy?,Maximum 5 day annual leave can be bought.,Benefits,many days holiday buy
"I lost my medical card, how can I apply a new one?  Any penalty?",Please complete the form - Declaration of Loss of Medical Card and submit to PGHK for medical card reissue. No penalty or additional cost is required. ,Benefits,lost medical card apply new one penalty
What to do if I lost my medical card?,Please complete the form - Declaration of Loss of Medical Card and submit to PGHK for medical card reissue. No penalty or additional cost is required. ,Benefits,lost medical card
How can I replace a lost medical card?,Please complete the form - Declaration of Loss of Medical Card and submit to PGHK for medical card reissue. No penalty or additional cost is required. ,Benefits,replace lost medical card
Do not receive email from Flexiben selection,"please contact Mercer Marsh Benefits (MMB), our benefits provider at 3476 3700 (Client Pin:1018) or email to: PRUflexiben@mercermarshbenefits.com",Benefits,receive email flexiben selection
I didn't receive anything for Flexiben,"please contact Mercer Marsh Benefits (MMB), our benefits provider at 3476 3700 (Client Pin:1018) or email to: PRUflexiben@mercermarshbenefits.com",Benefits,receive anything flexiben
I don't have registration email from Flexiben account,"please contact Mercer Marsh Benefits (MMB), our benefits provider at 3476 3700 (Client Pin:1018) or email to: PRUflexiben@mercermarshbenefits.com",Benefits,registration email flexiben account
I didn't receive registration email about Flexiben account,"please contact Mercer Marsh Benefits (MMB), our benefits provider at 3476 3700 (Client Pin:1018) or email to: PRUflexiben@mercermarshbenefits.com",Benefits,receive registration email flexiben account
What can I claim by using my Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,claim using flexi dollars
How can I use my Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,use flexi dollars
Where can I use my Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,use flexi dollars
What items are eligible to claim Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,items eligible claim flexi dollars
What I can do with  my Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,flexi dollars
What is Flexidollars?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,flexi dollars
How many Flexidollars do I have?,Please refer to HR Portal (Home > Rewards > PRU+YOU flexiben),Benefits,many flexi dollars
How can I add my new born baby to the medical scheme?,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,add new born baby medical scheme
I want to add my new baby to my medical scheme. ,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,want add new baby medical scheme
"I just had a new baby, how can I add him/her to my medical plan?","Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,new baby add medical plan
How can my child get medical coverage?,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,child get medical coverage
How can I enrol my children to company medical plan?,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,enrol children company medical plan
How to enrol my kids to corporate medical plan?,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,enrol kids corporate medical plan
What information do I need to give to HR after having a new born baby?,"Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,information need give hr new born baby
"I just had a new baby, what HR should know?","Please update your child information with birth certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,new baby hr know
"I just married, how can I enrol my spouse?","Please update your marital status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,married enrol spouse
How can I enrol my spouse to company medical plan?,"Please update your marital status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,enrol spouse company medical plan
How can I enrol my husband / wife to company medical plan?,"Please update your marital status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,enrol husband wife company medical plan
How I can get my spouse medical coverage?,"Please update your martial status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,get spouse medical coverage
How to enrol my husband / wife to company medical plan?,"Please update your martial status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,enrol husband wife company medical plan
Does my husband / wife / partner eligible for company medical plan?,"Please update your martial status and your spouse information with marriage certificate attachment on myHR.  Then, it will auto enroll to your medical schemem accordingly based on your eligibility.",Benefits,husband wife partner eligible company medical plan
What information do I need to give to HR after getting married?,Please update your marital status (with marriage certificate) and spouse information (with hkid copy) on myHR.,Benefits,information need give hr getting married
"I just get married, do I need to provide anything to HR?",Please update your marital status (with marriage certificate) and spouse information (with hkid copy) on myHR.,Benefits,get married need provide anything hr
How can I add dependent?,Please login myHR and update your dependent information via self service function (Worklet Benefits > Change Dependents),Benefits,add dependent
"If I have no flexidollars, can I buy extra annual leave via payroll?",The cost will be deducted from your FSA or your payroll as appropriate,Benefits,flexi dollars buy extra annual leave via payroll
Can I use my salary to buy extra annual leave?,The cost will be deducted from your FSA or your payroll as appropriate,Benefits,use salary buy extra annual leave
Can I buy annual leave if I don't have flexidollars?,The cost will be deducted from your FSA or your payroll as appropriate,Benefits,buy annual leave flexi dollars
What is my Medical Plan coverage / detail,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,medical plan coverage detail
How can I check my medical plan details?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,check medical plan details
What is my Medical Plan coverage / detail,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,medical plan coverage detail
"I want to admit to Hospital, where I can see my in-patient coverage?","To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,want admit hospital see patient coverage
Do I have inpatient cover?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,inpatient cover
How much is my inpatient coverage?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,much inpatient coverage
How many times out-patient visit I can have?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,many times patient visit
How much is my outpatient coverage?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,much outpatient coverage
How many doctor visit do I eligible?,"To check your Medical Plan details, please visit HR Portal (Home > Rewards > PRU+YOU flexiben).  ",Benefits,many doctor visit eligible
Where can I find my medical coverage?,Your medical coverage can be located from HR Portal (Home > Rewards​ > Group Medical Conversion Plan),Benefits,find medical coverage
